cores,tamano,tiempo 
8,1000000,0.396
8,1000000,0.401
8,1000000,0.408
8,1000000,0.411
16,100000,0.0530002
16,100000,0.05
16,100000,0.0470002
16,100000,0.049
16,100000,0.0479999
16,100000,0.05
16,100000,0.0510001
16,100000,0.052
16,100000,0.049
16,100000,0.0509999
16,200000,0.082
16,200000,0.082
16,200000,0.082
16,200000,0.082
16,200000,0.0839999
16,200000,0.0909998
16,200000,0.0839999
16,200000,0.089
16,200000,0.086
16,200000,0.0860002
16,300000,0.033
16,300000,0.0339999
16,300000,0.0340002
16,300000,0.033
16,300000,0.0340002
16,300000,0.0350001
16,300000,0.0339999
16,300000,0.036
16,300000,0.033
16,300000,0.0320001
16,400000,0.0439999
16,400000,0.049
16,400000,0.0450001
16,400000,0.0450001
16,400000,0.0469999
16,400000,0.043
16,400000,0.0449998
16,400000,0.043
16,400000,0.0439999
16,400000,0.046
16,600000,0.256
16,600000,0.294
16,600000,0.246
16,600000,0.261
16,600000,0.287
16,600000,0.258
16,600000,0.261
16,600000,0.245
16,600000,0.278
16,600000,0.261
16,800000,0.335
16,800000,0.33
16,800000,0.339
16,800000,0.352
16,800000,0.337
16,800000,0.349
16,800000,0.341
16,800000,0.341
16,800000,0.357
16,800000,0.342
16,1000000,0.419
16,1000000,0.425
16,1000000,0.415
16,1000000,0.472
16,1000000,0.415
16,1000000,0.412
16,1000000,0.419
16,1000000,0.417
16,1000000,0.426
16,1000000,0.409
